V1,V2
gene0,101697136
gene1,101696760
gene2,110348182
gene3,101697508
gene4,106008819
gene5,110348115
gene6,101699009
gene7,101699016
gene8,101701028
gene9,101700191
gene10,101699838
gene11,101699374
gene12,101700445
gene13,101702434
gene14,101702780
gene15,101700802
gene16,101701158
gene17,101704232
gene18,101703156
gene19,101705558
gene20,110348519
gene21,101706145
gene22,101706391
gene23,101706767
gene24,101707377
gene25,101707734
gene26,101701529
gene27,101708104
gene28,101708447
gene29,101708798
gene30,110348637
gene31,101711060
gene32,101710347
gene33,101701872
gene34,106008794
gene35,101711811
gene36,101702225
gene37,101711432
gene38,101702572
gene39,110349067
gene40,101704006
gene41,101704375
gene42,101704719
gene43,101712174
gene44,101712758
gene45,101713360
gene46,101715729
gene47,101713609
gene48,101715376
gene49,110348856
gene50,101716744
gene51,101718464
gene52,101718816
gene53,101719627
gene54,101705429
gene55,101720202
gene56,101721623
gene57,101720569
gene58,101723141
gene59,101724338
gene60,110349141
gene61,101706516
gene62,106008865
gene63,110349129
gene64,101725430
gene65,101725819
gene66,101726177
gene67,101726541
gene68,101707248
gene69,110349336
gene70,101707976
gene71,110349377
gene72,101696643
gene73,101709408
gene74,101698003
gene75,101698378
gene76,101699477
gene77,101701391
gene78,101700081
gene79,101702219
gene80,101703047
gene81,101706277
gene82,110349145
gene83,101707120
gene84,101707489
gene85,101709764
gene86,101708324
gene87,101709039
gene88,101708675
gene89,101710103
gene90,101710466
gene91,101710109
gene92,101711062
gene93,101711434
gene94,101713139
gene95,101714190
gene96,106008899
gene97,101715247
gene98,101715825
gene99,101716165
gene100,101717442
gene101,101717098
gene102,101716745
gene103,101718022
gene104,101710471
gene105,101718817
gene106,101719156
gene107,101719508
gene108,101710841
gene109,101719854
gene110,101720452
gene111,101711203
gene112,101720807
gene113,101722803
gene114,101723619
gene115,101711569
gene116,101723983
gene117,110350848
gene118,101725304
gene119,101696407
gene120,101696761
gene121,101698645
gene122,101699010
gene123,101711938
gene124,101699841
gene125,101701738
gene126,106008957
gene127,101704367
gene128,101701149
gene129,101709759
gene130,101709400
gene131,101707605
gene132,101707239
gene133,101705186
gene134,101710348
gene135,101710707
gene136,101712282
gene137,101712874
gene138,101716746
gene139,101717099
gene140,101712292
gene141,101717677
gene142,101718931
gene143,101718583
gene144,106009101
gene145,110349498
gene146,101718230
gene147,106009190
gene148,101717893
gene149,106009247
gene150,106009322
gene151,101719750
gene152,101720102
gene153,101720808
gene154,101720454
gene155,110344658
gene156,110349147
gene157,101721867
gene158,101722453
gene159,101722804
gene160,101723373
gene161,101723729
gene162,110349155
gene163,101713372
gene164,101724095
gene165,110344734
gene166,101713725
gene167,101724801
gene168,101725172
gene169,101714075
gene170,101714413
gene171,101725557
gene172,101714765
gene173,101715123
gene174,101725931
gene175,101726543
gene176,101699011
gene177,101698120
gene178,101697510
gene179,101696409
gene180,101699593
gene181,101699953
gene182,101700310
gene183,110345140
gene184,101701151
gene185,101703392
gene186,101704234
gene187,101704836
gene188,110345257
gene189,101705421
gene190,101706769
gene191,106009388
gene192,110345318
gene193,106009004
gene194,101715830
gene195,101707122
gene196,101716172
gene197,101716870
gene198,110349158
gene199,101707859
gene200,106009460
gene201,101707490
gene202,101708450
gene203,101717221
gene204,101709761
gene205,101710105
gene206,101710708
gene207,106009528
gene208,101717568
gene209,110349163
gene210,101717900
gene211,101718236
gene212,101711063
gene213,110349505
gene214,110349499
gene215,101711436
gene216,101719278
gene217,106009621
gene218,101712996
gene219,101712630
gene220,110345681
gene221,101712064
gene222,101713364
gene223,110349170
gene224,101719632
gene225,101714067
gene226,106009781
gene227,101716747
gene228,106009010
gene229,101716167
gene230,101715117
gene231,101717100
gene232,101718231
gene233,101717894
gene234,101720327
gene235,101719398
gene236,101719046
gene237,101719981
gene238,101720322
gene239,101721148
gene240,101721732
gene241,106009014
gene242,101722098
gene243,101722683
gene244,101723019
gene245,101723621
gene246,101724802
gene247,101723985
gene248,101725933
gene249,110346099
gene250,101726285
gene251,110346148
gene252,110349183
gene253,101726654
gene254,101696524
gene255,101721385
gene256,106009102
gene257,101697272
gene258,101696895
gene259,101698122
gene260,101699369
gene261,101698509
gene262,101700937
gene263,101701293
gene264,101701647
gene265,101702437
gene266,101721740
gene267,110349187
gene268,101722105
gene269,101704710
gene270,101722457
gene271,101722806
gene272,101705052
gene273,101705422
gene274,101705798
gene275,101706148
gene276,101723146
gene277,110346659
gene278,101707241
gene279,101707861
gene280,101723496
gene281,101709042
gene282,110346945
gene283,101711197
gene284,101710837
gene285,101711562
gene286,101711930
gene287,101713493
gene288,101714534
gene289,101715249
gene290,101714888
gene291,101723856
gene292,110349198
gene293,110349449
gene294,101715827
gene295,101716168
gene296,106009140
gene297,101724570
gene298,101716512
gene299,101717102
gene300,106009097
gene301,110347135
gene302,101718130
gene303,101718467
gene304,101719271
gene305,101719982
gene306,101697209
gene307,101724928
gene308,106010621
gene309,101725311
gene310,101720809
gene311,101721149
gene312,101721515
gene313,101721868
gene314,101722227
gene315,110349216
gene316,101725699
gene317,106009191
gene318,101722579
gene319,101722907
gene320,101723262
gene321,106009903
gene322,101723622
gene323,101725433
gene324,106009106
gene325,106009979
gene326,101726050
gene327,101696646
gene328,101697511
gene329,101726058
gene330,101697891
gene331,101698510
gene332,110347542
gene333,101726430
gene334,101700083
gene335,101701152
gene336,101701996
gene337,106010030
gene338,101702339
gene339,110347665
gene340,101696653
gene341,101703624
gene342,101697014
gene343,110347674
gene344,101704000
gene345,101704368
gene346,101705188
gene347,101705423
gene348,101706278
gene349,101706657
gene350,101697388
gene351,101707022
gene352,101697754
gene353,101707609
gene354,101707970
gene355,101698128
gene356,110349229
gene357,101698519
gene358,101698884
gene359,110349232
gene360,110347690
gene361,101699602
gene362,101708327
gene363,101699958
gene364,101700316
gene365,101708679
gene366,110347698
gene367,110347699
gene368,101709290
gene369,110347706
gene370,110349438
gene371,110347708
gene372,101701036
gene373,101701399
gene374,101701747
gene375,101709876
gene376,101710962
gene377,101711328
gene378,106009285
gene379,106009290
gene380,101712065
gene381,101711693
gene382,110347720
gene383,101712762
gene384,101702787
gene385,101713142
gene386,101703164
gene387,101703507
gene388,101703866
gene389,101704245
gene390,101704590
gene391,101713716
gene392,101714068
gene393,101715608
gene394,101715950
gene395,110349252
gene396,101716286
gene397,110347722
gene398,101716513
gene399,101719751
gene400,110347738
gene401,110347724
gene402,106010121
gene403,106009152
gene404,101717679
gene405,101717103
gene406,101720573
gene407,101720911
gene408,101721271
gene409,110347745
gene410,101721869
gene411,101722908
gene412,101722580
gene413,101704945
gene414,101723492
gene415,101705313
gene416,101723852
gene417,101705689
gene418,101725061
gene419,106009158
gene420,106009161
gene421,101725935
gene422,101696527
gene423,101696765
gene424,101697381
gene425,101706052
gene426,101697639
gene427,101706399
gene428,101698511
gene429,101698878
gene430,101699237
gene431,110347781
gene432,101699594
gene433,101707131
gene434,101707499
gene435,101707871
gene436,101699954
gene437,101708237
gene438,110349489
gene439,101700311
gene440,110349267
gene441,101703502
gene442,106009187
gene443,101703159
gene444,106009172
gene445,101702781
gene446,101701294
gene447,101700938
gene448,101703859
gene449,101704238
gene450,101704584
gene451,110347793
gene452,101708926
gene453,110349491
gene454,101709300
gene455,101705307
gene456,101705682
gene457,101706048
gene458,101709650
gene459,106009429
gene460,101706394
gene461,101706771
gene462,110349277
gene463,101709989
gene464,110349283
gene465,101707123
gene466,101707493
gene467,101707864
gene468,106007651
gene469,101710107
gene470,101710468
gene471,101710838
gene472,101711199
gene473,101711564
gene474,110349289
gene475,101711818
gene476,101712763
gene477,101713494
gene478,101714069
gene479,101714407
gene480,110347816
gene481,101714759
gene482,101715119
gene483,101715474
gene484,101715828
gene485,110349296
gene486,101717211
gene487,101716862
gene488,101718469
gene489,101718822
gene490,101719162
gene491,110347841
gene492,101719752
gene493,101712181
gene494,101720103
gene495,101720455
gene496,106009206
gene497,110347855
gene498,101721516
gene499,101712520
gene500,110347867
gene501,101721870
gene502,110347870
gene503,110347878
gene504,101712881
gene505,106010226
gene506,101722581
gene507,106007522
gene508,106010321
gene509,110347877
gene510,101722909
gene511,101723623
gene512,101723263
gene513,110347896
gene514,101724343
gene515,106010384
gene516,101723987
gene517,101724690
gene518,101713259
gene519,101725062
gene520,110349324
gene521,101725435
gene522,101713620
gene523,101726423
gene524,101726052
gene525,106007599
gene526,106009483
gene527,101696287
gene528,110349328
gene529,101697641
gene530,101697275
gene531,101698009
gene532,110347917
gene533,101698383
gene534,101714660
gene535,101715014
gene536,101699238
gene537,110347927
gene538,101701029
gene539,110349330
gene540,110347929
gene541,101701392
gene542,101701739
gene543,110347930
gene544,101702095
gene545,101702438
gene546,110347946
gene547,101715738
gene548,101703051
gene549,101716071
gene550,101716412
gene551,101703861
gene552,101704239
gene553,101704586
gene554,101716756
gene555,101717111
gene556,110347963
gene557,101705935
gene558,106009236
gene559,106010446
gene560,110347953
gene561,101705309
gene562,110347962
gene563,101704942
gene564,106009229
gene565,110347960
gene566,101706281
gene567,101707125
gene568,101707382
gene569,101707971
gene570,101708568
gene571,101708920
gene572,101717451
gene573,101709293
gene574,101709645
gene575,101718138
gene576,101709877
gene577,101710237
gene578,101710469
gene579,101718477
gene580,101719165
gene581,101719866
gene582,106009600
gene583,101710839
gene584,101711200
gene585,101720213
gene586,101711565
gene587,101720914
gene588,101711933
gene589,101712288
gene590,106009238
gene591,101712877
gene592,101721634
gene593,106009630
gene594,101721980
gene595,101713718
gene596,101714070
gene597,101722695
gene598,106007902
gene599,101714408
gene600,101723032
gene601,101714760
gene602,101715120
gene603,101715475
gene604,101716288
gene605,101724108
gene606,101716644
gene607,101716863
gene608,101724464
gene609,101724814
gene610,106009719
gene611,101718132
gene612,101718355
gene613,106010546
gene614,101725185
gene615,101725570
gene616,101720325
gene617,110348032
gene618,101720685
gene619,110349502
gene620,101721275
gene621,101726293
gene622,101721871
gene623,101726664
gene624,110348055
gene625,101722228
gene626,101696902
gene627,101722582
gene628,101723264
gene629,101722910
gene630,101723988
gene631,101723624
gene632,101697279
gene633,110348086
gene634,101725063
gene635,101725437
gene636,101725821
gene637,101697648
gene638,101726180
gene639,101726545
gene640,110348109
gene641,101696411
gene642,101696766
gene643,101697895
gene644,101699012
gene645,101699596
gene646,110348131
gene647,110348130
gene648,110348127
gene649,101698016
gene650,101700438
gene651,110348142
gene652,101698391
gene653,110349352
gene654,110349353
gene655,101701030
gene656,101698773
gene657,101702096
gene658,101702439
gene659,101702782
gene660,101703160
gene661,110349356
gene662,101704002
gene663,101699136
gene664,101704370
gene665,106010663
gene666,106010739
gene667,101704712
gene668,101705054
gene669,101705799
gene670,101699488
gene671,110348206
gene672,101707025
gene673,101707383
gene674,101706660
gene675,101699854
gene676,101700203
gene677,110349358
gene678,101700578
gene679,101700943
gene680,101708107
gene681,110348220
gene682,101708682
gene683,101701298
gene684,101701652
gene685,110349359
gene686,101709045
gene687,110348222
gene688,101709295
gene689,101709984
gene690,101702001
gene691,101709647
gene692,110348225
gene693,101710354
