nmr.gene_id,nmr.symbol,mouse.gene_id,mouse.symbol
101697136,Uso1,ENSMUSG00000029407,Uso1
101697508,G3bp2,ENSMUSG00000029405,G3bp2
101699009,Cdkl2,ENSMUSG00000029403,Cdkl2
101699016,LOC101699016,ENSMUSG00000096035,Gm1045
101700191,Rchy1,ENSMUSG00000029397,Rchy1
101700445,Parm1,ENSMUSG00000034981,Parm1
101702780,Btc,ENSMUSG00000082361,Btc
101700802,Areg,ENSMUSG00000029378,Areg
101701158,Ereg,ENSMUSG00000029377,Ereg
101704232,Epgn,ENSMUSG00000035020,Epgn
101703156,Mthfd2l,ENSMUSG00000029376,Mthfd2l
101705558,LOC101705558,ENSMUSG00000029380,Cxcl1
101706767,LOC101706767,ENSMUSG00000029372,Ppbp
101707377,LOC101707377,ENSMUSG00000029371,Cxcl5
101712174,Plxnb1,ENSMUSG00000053646,Plxnb1
101712758,Ccdc51,ENSMUSG00000025645,Ccdc51
101713360,LOC101713360,ENSMUSG00000108608,Gm6916
101715729,Atrip,ENSMUSG00000025646,Atrip
101713609,Shisa5,ENSMUSG00000025647,Shisa5
101715376,Trex1,ENSMUSG00000049734,Trex1
101716744,Pfkfb4,ENSMUSG00000025648,Pfkfb4
101718464,Ucn2,ENSMUSG00000049699,Ucn2
101718816,Col7a1,ENSMUSG00000025650,Col7a1
101719627,LOC101719627,ENSMUSG00000025651,Uqcrc1
101720202,Tmem89,ENSMUSG00000025652,Tmem89
101721623,Slc26a6,ENSMUSG00000023259,Slc26a6
101720569,Celsr3,ENSMUSG00000023473,Celsr3
101723141,Nckipsd,ENSMUSG00000032598,Nckipsd
101724338,Ip6k2,ENSMUSG00000032599,Ip6k2
101725430,Slc25a20,ENSMUSG00000032602,Slc25a20
101696643,Arih2,ENSMUSG00000064145,Arih2
101709408,P4htm,ENSMUSG00000006675,P4htm
101698003,Wdr6,ENSMUSG00000066357,Wdr6
101698378,Dalrd3,ENSMUSG00000019039,Dalrd3
101699477,Ndufaf3,ENSMUSG00000070283,Ndufaf3
101701391,Impdh2,ENSMUSG00000062867,Impdh2
101700081,Qrich1,ENSMUSG00000006673,Qrich1
101702219,Qars,ENSMUSG00000032604,Qars
101703047,Usp19,ENSMUSG00000006676,Usp19
101706277,Lamb2,ENSMUSG00000052911,Lamb2
101707120,Ccdc71,ENSMUSG00000049305,Ccdc71
101707489,Klhdc8b,ENSMUSG00000032609,Klhdc8b
101709764,LOC101709764,ENSMUSG00000050641,BC048562
101709039,Ccdc36,ENSMUSG00000047220,Ccdc36
101708675,LOC101708675,ENSMUSG00000032611,1700102P08Rik
101710103,Usp4,ENSMUSG00000032612,Usp4
101710466,Gpx1,ENSMUSG00000063856,Gpx1
101711062,Tcta,ENSMUSG00000039461,Tcta
101711434,Amt,ENSMUSG00000032607,Amt
101713139,Nicn1,ENSMUSG00000032606,Nicn1
101714190,Dag1,ENSMUSG00000039952,Dag1
101715247,Bsn,ENSMUSG00000032589,Bsn
101715825,Apeh,ENSMUSG00000032590,Apeh
101716165,Mst1,ENSMUSG00000032591,Mst1
101717442,Rnf123,ENSMUSG00000041528,Rnf123
101717098,Amigo3,ENSMUSG00000032593,Amigo3
101716745,Gmppb,ENSMUSG00000070284,Gmppb
101718022,Ip6k1,ENSMUSG00000032594,Ip6k1
101718817,Cdhr4,ENSMUSG00000032595,Cdhr4
101719156,Fam212a,ENSMUSG00000042106,Fam212a
101719508,Uba7,ENSMUSG00000032596,Uba7
101719854,Traip,ENSMUSG00000032586,Traip
101720452,Camkv,ENSMUSG00000032936,Camkv
101711203,LOC101711203,ENSMUSG00000066368,Actl11
101720807,Mst1r,ENSMUSG00000032584,Mst1r
101722803,Mon1a,ENSMUSG00000032583,Mon1a
101723619,Rbm6,ENSMUSG00000032582,Rbm6
101723983,Rbm5,ENSMUSG00000032580,Rbm5
101725304,Sema3f,ENSMUSG00000034684,Sema3f
101696407,Gnat1,ENSMUSG00000034837,Gnat1
101696761,Slc38a3,ENSMUSG00000010064,Slc38a3
101698645,Gnai2,ENSMUSG00000032562,Gnai2
101699010,Sema3b,ENSMUSG00000057969,Sema3b
101699841,Ifrd2,ENSMUSG00000010048,Ifrd2
101701738,Hyal3,ENSMUSG00000036091,Hyal3
106008957,Nat6,ENSMUSG00000079334,Nat6
101701149,Hyal1,ENSMUSG00000010051,Hyal1
101709759,Hyal2,ENSMUSG00000010047,Hyal2
101704367,LOC101704367,ENSMUSG00000037190,Cyb561d2
101709400,Tusc2,ENSMUSG00000010054,Tusc2
101707605,Rassf1,ENSMUSG00000010067,Rassf1
101707239,Zmynd10,ENSMUSG00000010044,Zmynd10
101705186,Nprl2,ENSMUSG00000010057,Nprl2
101710348,Tmem115,ENSMUSG00000010045,Tmem115
101710707,Cacna2d2,ENSMUSG00000010066,Cacna2d2
